experiment	cell	reads	length	unique	multimap	nomap	exonic	intronic	intergenic	rpkm1	max-correlation
SS2_15_0049	SS2_15_0049_J4	467930	43	49.1	11.3	39.6	69.5	7.3	23.2	4102	0.54
SS2_15_0049	SS2_15_0049_J5	653282	43	52.1	9.1	38.8	69.7	8.4	22.0	4094	0.54
SS2_15_0049	SS2_15_0049_J6	308481	43	26.4	6.9	66.7	55.3	4.4	40.2	1360	0.35
SS2_15_0049	SS2_15_0049_J7	819780	43	54.5	13.5	32.0	70.7	7.9	21.4	4889	0.61
SS2_15_0049	SS2_15_0049_J8	341262	43	40.4	10.7	48.9	69.9	3.8	26.3	2699	0.44
SS2_15_0049	SS2_15_0049_J9	772440	43	69.4	12.6	18.0	75.1	9.3	15.6	6260	0.67
SS2_15_0049	SS2_15_0049_K1	721598	43	43.0	12.5	44.5	64.9	9.6	25.4	2953	0.50
SS2_15_0049	SS2_15_0049_K10	833231	43	58.1	14.3	27.7	72.3	11.8	15.9	5004	0.61
SS2_15_0049	SS2_15_0049_K11	879148	43	42.3	7.9	49.9	55.2	20.7	24.1	3061	0.47
SS2_15_0049	SS2_15_0049_K12	849060	43	54.0	12.2	33.7	71.1	6.6	22.3	4409	0.58
SS2_15_0049	SS2_15_0049_K13	973579	43	51.1	10.5	38.5	71.3	5.1	23.6	4014	0.55
SS2_15_0049	SS2_15_0049_K14	680128	43	50.1	12.7	37.2	69.3	6.8	23.9	4137	0.57
SS2_15_0049	SS2_15_0049_K15	506220	43	24.4	5.4	70.1	56.2	4.8	39.0	1124	0.31
SS2_15_0049	SS2_15_0049_K16	895483	43	66.7	13.0	20.3	74.4	6.7	18.9	6152	0.67
SS2_15_0049	SS2_15_0049_K17	630254	43	66.6	12.8	20.6	76.0	4.4	19.6	5874	0.62
SS2_15_0049	SS2_15_0049_K18	2675145	43	68.1	9.9	22.0	79.2	4.3	16.5	2741	0.50
SS2_15_0049	SS2_15_0049_K19	761682	43	40.6	9.7	49.8	65.0	8.1	27.0	3357	0.50
SS2_15_0049	SS2_15_0049_K2	564019	43	26.7	5.8	67.5	63.9	2.9	33.2	1536	0.35
SS2_15_0049	SS2_15_0049_K20	385283	43	63.8	18.7	17.5	73.9	8.6	17.4	6621	0.67
SS2_15_0049	SS2_15_0049_K21	683451	43	59.8	16.3	23.9	72.3	6.0	21.7	6005	0.65
SS2_15_0049	SS2_15_0049_K22	401055	43	39.3	10.3	50.4	59.3	23.0	17.7	3330	0.49
SS2_15_0049	SS2_15_0049_K23	265176	43	44.0	12.6	43.3	63.3	18.5	18.2	3752	0.52
SS2_15_0049	SS2_15_0049_K24	193491	43	15.4	5.7	78.8	21.1	5.7	73.2	541	0.28
